Studio,Start time,Classes,Instructor,Sign up
ILD NYC,17:00:00,Int/Adv Choreo,Cancelled Today,none
ILD NYC,18:30:00,Basic Hip Hop Fundamentals,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6782&classDate=11/27/2023&clsLoc=1
ILD NYC,20:00:00,Beg House,Huu Rock,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=5857&classDate=11/27/2023&clsLoc=1
ILD NYC,18:00:00,Baddie | Ive Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8793&classDate=11/28/2023&clsLoc=1
ILD NYC,19:40:00,Perfect Night | Lesserafim Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8758&classDate=11/28/2023&clsLoc=1
ILD NYC,18:30:00,Perfect Night | Lesserafim Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8759&classDate=11/29/2023&clsLoc=1
ILD NYC,20:00:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8777&classDate=11/29/2023&clsLoc=1
ILD NYC,18:30:00,Get A Guitar | Riize Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8769&classDate=11/30/2023&clsLoc=1
ILD NYC,19:40:00,Perfect Night | Lesserafim Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8758&classDate=11/30/2023&clsLoc=1
ILD NYC,18:30:00,3D | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8753&classDate=12/1/2023&clsLoc=1
ILD NYC,20:00:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8785&classDate=12/1/2023&clsLoc=1
ILD NYC,12:00:00,Baddie | Ive Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8794&classDate=12/2/2023&clsLoc=1
ILD NYC,15:00:00,3D | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8754&classDate=12/2/2023&clsLoc=1
ILD NYC,18:30:00,3D | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8753&classDate=11/27/2023&clsLoc=1
ILD NYC,20:00:00,Baddie | Ive Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8798&classDate=11/27/2023&clsLoc=1
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=11/28/2023&clsLoc=1
ILD NYC,20:00:00,Adv Beg Choreo,Alice Wu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6064&classDate=11/29/2023&clsLoc=1
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=11/30/2023&clsLoc=1
ILD NYC,20:00:00,Beg Hip Hop Choreo,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6048&classDate=11/30/2023&clsLoc=1
ILD NYC,18:30:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8778&classDate=12/1/2023&clsLoc=1
ILD NYC,13:30:00,Get A Guitar | Riize Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8770&classDate=12/2/2023&clsLoc=1
ILD NYC,16:30:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8786&classDate=12/2/2023&clsLoc=1
