Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8726&classDate=11/27/2023&clsLoc=1
ILD NJ,17:00:00,Kids Kpop 7,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8438&classDate=11/28/2023&clsLoc=1
ILD NJ,18:00:00,Baddie | Ive Part 4,Regina Lustre,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8734&classDate=11/28/2023&clsLoc=1
ILD NJ,19:30:00,Int/Adv Choreo,Alice Wu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8437&classDate=11/28/2023&clsLoc=1
ILD NJ,18:00:00,Get A Guitar | Riize Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8738&classDate=11/29/2023&clsLoc=1
ILD NJ,09:30:00,Kpop Diet Dance,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8799&classDate=11/30/2023&clsLoc=1
ILD NJ,18:00:00,3D | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8742&classDate=11/30/2023&clsLoc=1
ILD NJ,19:30:00,Adv Beg Choreo,Alice Wu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8436&classDate=11/30/2023&clsLoc=1
ILD NJ,18:00:00,Baddie | Ive Part 4,Regina Lustre,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8734&classDate=12/1/2023&clsLoc=1
ILD NJ,19:30:00,Perfect Night | Lesserafim Part 4,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=11/27/2023&clsLoc=1
ILD NJ,18:00:00,3D | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8742&classDate=11/28/2023&clsLoc=1
ILD NJ,19:30:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8746&classDate=11/28/2023&clsLoc=1
ILD NJ,19:30:00,Perfect Night | Lesserafim Part 4,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=11/29/2023&clsLoc=1
ILD NJ,16:45:00,Kids Kpop 9,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8600&classDate=11/30/2023&clsLoc=1
ILD NJ,18:00:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8726&classDate=11/30/2023&clsLoc=1
ILD NJ,19:30:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8746&classDate=11/30/2023&clsLoc=1
ILD NJ,19:30:00,Perfect Night | Lesserafim Part 4,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=12/1/2023&clsLoc=1
