Studio,Start time,Classes,Instructor,Sign up
ILD Queens,17:45:00,Kids Kpop 8,Christina Ryu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8621&classDate=11/27/2023&clsLoc=1
ILD Queens,20:10:00,All Levels Choreo,Christina Ryu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8461&classDate=11/27/2023&clsLoc=1
ILD Queens,18:00:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8665&classDate=11/28/2023&clsLoc=1
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8337&classDate=11/29/2023&clsLoc=1
ILD Queens,19:30:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8689&classDate=11/29/2023&clsLoc=1
ILD Queens,18:00:00,Baddie | Ive Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8678&classDate=11/30/2023&clsLoc=1
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8338&classDate=12/1/2023&clsLoc=1
ILD Queens,19:30:00,Get A Guitar | Riize Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8670&classDate=12/1/2023&clsLoc=1
ILD Queens,12:30:00,Fact Check | Nct 127 Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8690&classDate=12/2/2023&clsLoc=1
ILD Queens,15:30:00,Puppet Show | Xg Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8666&classDate=12/2/2023&clsLoc=1
ILD Queens,18:00:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=7138&classDate=12/3/2023&clsLoc=1
ILD Queens,18:50:00,Perfect Night | Lesserafim Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8649&classDate=11/27/2023&clsLoc=1
ILD Queens,19:30:00,Get A Guitar | Riize Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8670&classDate=11/28/2023&clsLoc=1
ILD Queens,18:00:00,Baddie | Ive Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8678&classDate=11/29/2023&clsLoc=1
ILD Queens,19:30:00,3D | Jung Kook Part 4,Fernando Farias,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8705&classDate=11/30/2023&clsLoc=1
ILD Queens,18:00:00,Perfect Night | Lesserafim Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8650&classDate=12/1/2023&clsLoc=1
ILD Queens,14:00:00,3D | Jung Kook Part 4,Fernando Farias,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8706&classDate=12/2/2023&clsLoc=1
