Studio,Start time,Classes,Instructor,Sign up
PMT,18:00:00,Adv. Beg. Waacking,Princess Lockerooo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3374&classDate=11/27/2023&clsLoc=1
PMT,19:35:00,Adv. Beg. Voguing,Baby Oricci (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3376&classDate=11/27/2023&clsLoc=1
PMT,21:10:00,Adv. Beg. Choreo,John John Tarrayo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3502&classDate=11/27/2023&clsLoc=1
PMT,17:00:00,African Diasporic Dance,J Lyn Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3536&classDate=11/28/2023&clsLoc=1
PMT,18:35:00,Beg Jazz,Mica Butnar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3380&classDate=11/28/2023&clsLoc=1
PMT,20:10:00,Intro To Hip Hop,Devynn Brooks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3487&classDate=11/28/2023&clsLoc=1
PMT,15:00:00,Open Reggaeton,David Machicado,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3384&classDate=11/29/2023&clsLoc=1
PMT,18:00:00,Beg Hip Hop,Devynn Brooks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3387&classDate=11/29/2023&clsLoc=1
PMT,19:35:00,Adv. Beg. Hip Hop Choreo,Shoshanna Babitt,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3519&classDate=11/29/2023&clsLoc=1
PMT,21:10:00,Rhytmatic House,Shan S,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3533&classDate=11/29/2023&clsLoc=1
PMT,16:30:00,Adv. Beg. Jazz,Michelle Barber,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3392&classDate=11/30/2023&clsLoc=1
PMT,18:00:00,Beg Contemp,Mica Butnar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3393&classDate=11/30/2023&clsLoc=1
PMT,19:35:00,Open Level House Drills,Jungle -,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3535&classDate=11/30/2023&clsLoc=1
PMT,15:00:00,Int Grooves And Execution,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3398&classDate=12/1/2023&clsLoc=1
