Studio,Start time,Classes,Instructor,Sign up
SassClass,18:00:00,Sexy Stilettos,Emma,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=378&classDate=11/27/2023&clsLoc=1
SassClass,19:15:00,Sexy Stilettos,Emma,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=444&classDate=11/27/2023&clsLoc=1
SassClass,20:30:00,Sultry Street Jazz,David,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=502&classDate=11/27/2023&clsLoc=1
SassClass,12:00:00,Sexy Stilettos,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=797&classDate=11/28/2023&clsLoc=1
SassClass,19:10:00,Sexy Stilettos,Sophia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=480&classDate=11/28/2023&clsLoc=1
SassClass,20:20:00,Sexy Stilettos,Sophia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=481&classDate=11/28/2023&clsLoc=1
SassClass,18:00:00,Sexy Stilettos,Brynlie (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=741&classDate=11/29/2023&clsLoc=1
SassClass,19:10:00,Popstar Style,Gabby (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=711&classDate=11/29/2023&clsLoc=1
SassClass,20:20:00,Fierce Feminine Hip-Hop,Gabby (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=710&classDate=11/29/2023&clsLoc=1
SassClass,18:00:00,Sexy Stilettos,Laura,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=668&classDate=11/30/2023&clsLoc=1
SassClass,19:15:00,Sexy Stilettos,Laura,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=669&classDate=11/30/2023&clsLoc=1
SassClass,20:30:00,Sexy Stilettos,Emma,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=450&classDate=11/30/2023&clsLoc=1
SassClass,11:30:00,Empowered Expression,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=789&classDate=12/2/2023&clsLoc=1
SassClass,12:45:00,Sexy Stilettos,Kiersten,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=721&classDate=12/2/2023&clsLoc=1
SassClass,15:15:00,Sultry Street Jazz,Sofi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=785&classDate=12/2/2023&clsLoc=1
SassClass,10:50:00,Sexy Stilettos,Sophia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=716&classDate=12/3/2023&clsLoc=1
SassClass,12:15:00,Fierce Feminine Hip-Hop,Mary,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=611&classDate=12/3/2023&clsLoc=1
SassClass,14:20:00,Reggaeton,Jahaira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=715&classDate=12/3/2023&clsLoc=1
SassClass,18:15:00,Sass Found 101,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=617&classDate=11/27/2023&clsLoc=1
SassClass,19:30:00,Empowered Expression,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=616&classDate=11/27/2023&clsLoc=1
SassClass,20:40:00,Empowered Expression,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=788&classDate=11/27/2023&clsLoc=1
SassClass,18:00:00,Neo-Burlesque,Tony,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=387&classDate=11/28/2023&clsLoc=1
SassClass,19:15:00,Chairography,Tony,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=386&classDate=11/28/2023&clsLoc=1
SassClass,18:10:00,Flirty Floorwork,Sophia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=802&classDate=11/29/2023&clsLoc=1
SassClass,19:20:00,Sexy Stilettos,David,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=441&classDate=11/29/2023&clsLoc=1
SassClass,20:30:00,Reggaeton,David,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=429&classDate=11/29/2023&clsLoc=1
SassClass,18:10:00,Fierce Feminine Hip-Hop,Sofi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=799&classDate=11/30/2023&clsLoc=1
SassClass,19:20:00,Fierce Feminine Hip-Hop,Sofi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=800&classDate=11/30/2023&clsLoc=1
SassClass,20:30:00,Sexy Stilettos X Bollywood,Revati,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=798&classDate=11/30/2023&clsLoc=1
SassClass,12:40:00,Sassy Jazz,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=790&classDate=12/2/2023&clsLoc=1
SassClass,14:00:00,Chairography,Tony,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=615&classDate=12/2/2023&clsLoc=1
SassClass,12:00:00,Flirty Floorwork,Sophia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=612&classDate=12/3/2023&clsLoc=1
SassClass,13:10:00,Sexy Stilettos,Lia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=784&classDate=12/3/2023&clsLoc=1
