Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7910&classDate=11/27/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Vanessa Martínez de Baños,none,none,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7984&classDate=11/27/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7952&classDate=11/27/2023&clsLoc=1,LIVE-STREAM Basic Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7985&classDate=11/27/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Maximilien Baud,none,none,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7923&classDate=11/28/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Anne Kelly,none,none,1 hour &15 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7965&classDate=11/28/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,Sean Kelly,none,none,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7966&classDate=11/29/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7814&classDate=11/29/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Roni Mahler (1),none,none,1 hour &15 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7986&classDate=11/29/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7916&classDate=11/29/2023&clsLoc=1,LIVE-STREAM Gentle Pilates,Wendy Amos,none,none,1 hour
Ballet Academy East,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7987&classDate=11/29/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Selina Chau,none,none,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7924&classDate=11/30/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Anne Kelly,none,none,1 hour &15 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=8012&classDate=11/30/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Roni Mahler,none,none,1 hour &15 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7925&classDate=12/1/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Anne Kelly,none,none,1 hour &15 minutes
Ballet Academy East,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7988&classDate=12/2/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,8:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7909&classDate=11/27/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Phoebe Higgins,none,none,1 hour
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=8003&classDate=11/27/2023&clsLoc=1,LIVE-STREAM Intermediate Ballet,Justin Sherwood,none,none,1 hour &30 minutes
Ballet Academy East,7:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7918&classDate=11/27/2023&clsLoc=1,LIVE-STREAM Stretch & Strengthen,Julie Voshell,none,none,1 hour
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7911&classDate=11/28/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Ashley Carter,none,none,1 hour
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7964&classDate=11/28/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,Justin Sherwood,none,none,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=8004&classDate=11/29/2023&clsLoc=1,LIVE-STREAM Intermediate Ballet,Justin Sherwood,none,none,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7967&classDate=11/29/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,William Waldinger,none,none,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7920&classDate=11/30/2023&clsLoc=1,LIVE-STREAM Floor Barre,Hope Ruth,none,none,1 hour
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7968&classDate=11/30/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,Julie Voshell (3),none,none,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7912&classDate=12/1/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Ashley Carter,none,none,1 hour
Ballet Academy East,7:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7938&classDate=12/1/2023&clsLoc=1,LIVE-STREAM Introduction to Ballet,Ginger Thatcher (7),none,none,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7913&classDate=12/2/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Courtney Conner,none,none,1 hour
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7989&classDate=12/3/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Ginger Thatcher,none,none,1 hour &30 minutes
