Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,"6:50 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8657&classDate=11/27/2023&clsLoc=1,Online: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,none,1 hour &20 minutes
ILoveDance,"6:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8721&classDate=11/28/2023&clsLoc=1,Online: Puppet Show | XG (Part 4),Maylin Ramos,none,1 hour &20 minutes
ILoveDance,"6:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8682&classDate=11/29/2023&clsLoc=1,Online: Baddie | IVE (Part 4),Winnie Chung,none,1 hour &20 minutes
ILoveDance,"6:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8682&classDate=11/30/2023&clsLoc=1,Online: Baddie | IVE (Part 4),Winnie Chung,none,1 hour &20 minutes
ILoveDance,"6:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8658&classDate=12/1/2023&clsLoc=1,Online: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,none,1 hour &20 minutes
ILoveDance,"12:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8698&classDate=12/2/2023&clsLoc=1,Online: Fact Check | NCT 127 (Part 4),Ying Dong,none,1 hour &20 minutes
ILoveDance,"3:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8722&classDate=12/2/2023&clsLoc=1,Online: Puppet Show | XG (Part 4),Maylin Ramos,none,1 hour &20 minutes
ILoveDance,"7:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8674&classDate=11/28/2023&clsLoc=1,Online: Get A Guitar | RIIZE (Part 4),Ness Martinez,none,1 hour &20 minutes
ILoveDance,"7:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8697&classDate=11/29/2023&clsLoc=1,Online: Fact Check | NCT 127 (Part 4),Ying Dong,none,1 hour &20 minutes
ILoveDance,"7:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8713&classDate=11/30/2023&clsLoc=1,Online: 3D | Jung Kook (Part 4),Fernando Farias,none,1 hour &20 minutes
ILoveDance,"7:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8674&classDate=12/1/2023&clsLoc=1,Online: Get A Guitar | RIIZE (Part 4),Ness Martinez,none,1 hour &20 minutes
ILoveDance,"2:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8714&classDate=12/2/2023&clsLoc=1,Online: 3D | Jung Kook (Part 4),Fernando Farias,none,1 hour &20 minutes
