Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,"9:00 am EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=3241&classDate=11/27/2023&clsLoc=1,(Online) Gyrokinesis,Alexandra *Berger (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,"12:10 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=4954&classDate=11/29/2023&clsLoc=1,(Online) Contemporary: Simonson Technique,Laurie *De Vito (Masks Optional),none,none,1 hour &50 minutes
Mark Morris Dance,"6:30 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=3254&classDate=11/29/2023&clsLoc=1,(Online) Intermediate West African,Mouminatou *Camara (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,"10:00 am EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5553&classDate=11/30/2023&clsLoc=1,(Online) Beginner Ballet,Tristan *Grannum (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,"6:15 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5086&classDate=11/30/2023&clsLoc=1,(Online) Zumba,Bethina Sayegh-Flores (Mask Optional),none,none,1 hour
Mark Morris Dance,"9:00 am EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5545&classDate=12/1/2023&clsLoc=1,(Online) Open Level Pilates,Ellie *Kusner (Masks optional),none,none,1 hour
Mark Morris Dance,"12:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=4947&classDate=12/1/2023&clsLoc=1,(Online) Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,"9:00 am EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5544&classDate=12/2/2023&clsLoc=1,(Online) Pilates Flow,Lesley Garrison MMDG Dancer (Masks Optional),none,none,1 hour
Mark Morris Dance,"12:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=3572&classDate=11/28/2023&clsLoc=1,(Online) Beginner Modern,Claudia *McDonald (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=148&classId=5548&classDate=11/28/2023&clsLoc=1,(Online) Movement for Older Bodies: Open Level Move & Flow,Alexandra *Berger (Mask Optional),none,none,1 hour
Mark Morris Dance,"7:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5248&classDate=11/28/2023&clsLoc=1,(Online) Intermediate Ballet,Ashley Tuttle (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,"7:00 pm EST
LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=3520&classDate=12/1/2023&clsLoc=1,(Online) Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour &30 minutes
