Studio,Start time,Classes,Instructor,Sign up
BDC,08:30:00,Ed Dept Itp Placement,ITP Master Class,none
BDC,10:30:00,Adv Beg Hip-Hop,Paolo Slice Penala,none
BDC,10:30:00,Basic Theater,Melodye Redding,none
BDC,10:30:00,Int Jazz,Adam Wedesky,none
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none
BDC,12:00:00,Adv Beg Theater,Ian Klein,none
BDC,12:00:00,Beg Theater Tap,Doug Shankman,none
BDC,12:30:00,Ed Dept Company Ballet,ProSem Master,none
BDC,13:30:00,Basic Tap,Avital Asuleen,none
BDC,13:30:00,Int Contemp Fusion,Lorena Cobos (2),none
BDC,15:00:00,Adv Beg Jazz,Sheila Barker,none
BDC,15:00:00,Basic Ballet,Deanna Doyle,none
BDC,15:00:00,Int Street Jazz,Masumi Kambayashi (3),none
BDC,16:30:00,Adv Beg Hip-Hop,AntBoogie,none
BDC,16:30:00,All Levels Restorative Meditation,Sarah Simon Wolff,none
BDC,16:30:00,Int Tap,Ray Hesselink,none
BDC,18:00:00,Adv Beg Contemp,alma Collective,none
BDC,18:00:00,Beg Hip-Hop Found,Ms Vee,none
BDC,19:30:00,Adv Beg Street Jazz/Hip-Hop,Carlos Neto,none
BDC,19:30:00,Basic Afro'Dance,Angel Kaba,none
BDC,19:30:00,Int Adv Contemp Jazz,Nijawwon Matthews,none
BDC,21:00:00,Int Adv Contemp Jazz,Derek Piquette,none
BDC,09:00:00,Beg Lyrical,Emily Bufferd,none
BDC,10:30:00,Adv Beg Tap,Dre Torres,none
BDC,10:30:00,Int Ballet,Deanna Doyle,none
BDC,11:00:00,Ed Dept Company Ballet,ProSem Master,none
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,none
BDC,12:00:00,Beg Jazz Funk,Bo Belza (1),none
BDC,13:30:00,Basic Hip-Hop,Geheny Rivera,none
BDC,13:30:00,Beg Jumps And Turns,Eric Campros,none
BDC,13:30:00,Int Theater,Tanner Lane,none
BDC,15:00:00,Adv Beg Tap,Brent McBeth,none
BDC,15:00:00,Beg Theater,Josh Zacher,none
BDC,16:30:00,Adv Beg Theater,Jason Wise,none
BDC,16:30:00,Beg Ballet,Dorit Koppel,none
BDC,18:00:00,Adv Beg Comm Jazz,Debbie Wilson,none
BDC,18:00:00,Adv Beg Tap,Mark Albrecht,none
BDC,18:00:00,Int Adv Theater,Marc Kimelman (4),none
BDC,19:30:00,All Levels Tap,Gwen Potter,none
BDC,19:30:00,Basic Hip-Hop,Q,none
BDC,21:00:00,Adv Beg Heels,Yvonne Marie Sain,none
BDC,21:00:00,Int Adv Hip-Hop,David Thomas,none
