Studio,Time,Classes,Instructor,Sign up,Date,Style
Ballet Arts,09:00:00,Pilates / Stretch,Charmaine Trotman-Shumantov,none,2024-01-20,Additional Disciplines
Peridance,09:00:00,Open Ballet,Bivi Kimura,none,2024-01-20,Ballet
Mark Morris,09:00:00,Pilates Flow,Joy-Marie *Thomspon (7),none,2024-01-20,Additional Disciplines
Steps,09:30:00,Adv/Beg Ballet,"Sims, L.",none,2024-01-20,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Hawk,none,2024-01-20,Ballet
BAE,10:00:00,Mat Pilates Class,Courtney Conner,none,2024-01-20,Additional Disciplines
Ailey,10:00:00,Abs Beg Ballet,Dawn Hillen,none,2024-01-20,Ballet
Ailey,10:00:00,Masala Bhangra,Deborah Kolb (1),none,2024-01-20,World
Mark Morris,10:00:00,Beg Ballet,Cara Surico,none,2024-01-20,Ballet
BDC,10:30:00,Beg Theater,Ian Klein,none,2024-01-20,Theater
Gibney,10:30:00,Int/Adv Beg Ballet,Kat Wildish,none,2024-01-20,Ballet
Gibney,10:30:00,Gaga/People At 280,Ben Green,none,2024-01-20,Contemporary/Modern
BDC,10:30:00,Adv Beg Ballet,Sarah Simon Wolff,none,2024-01-20,Ballet
Gibney,10:30:00,Beg Simonson,Leann Gioia,none,2024-01-20,Additional Disciplines
Peridance,10:30:00,Beg Contemp,Bo Kyung Lee,none,2024-01-20,Contemporary/Modern
Peridance,10:30:00,Int Ballet,Graciela Kozak,none,2024-01-20,Ballet
BDC,10:30:00,Beg Street Styles,Niki Saludez,none,2024-01-20,Street/Choreography
BAE,11:00:00,Beg Ballet,Lisa Lockwood,none,2024-01-20,Ballet
Ballet Arts,11:00:00,Int Ballet,Irina Dvorovenko (1),none,2024-01-20,Ballet
Steps,11:00:00,Adv Pro Ballet,Beloserkovsky,none,2024-01-20,Ballet
Steps,11:00:00,Int Tap,Ponza,none,2024-01-20,Tap
Ailey,11:15:00,Zumba Fitness,Will Negrillo,none,2024-01-20,Additional Disciplines
SassClass,11:30:00,Empowered Expression,Brynlie,none,2024-01-20,Contemporary/Modern
Steps,11:30:00,Adv/Int Ballet,Saund,none,2024-01-20,Ballet
Steps,11:30:00,Rommett Floor Barre,Wesley,none,2024-01-20,Ballet
BDC,12:00:00,Int Theater Tap,Brent McBeth,none,2024-01-20,Tap
Peridance,12:00:00,Int Ballet,Sean Stewart (1),none,2024-01-20,Ballet
Peridance,12:00:00,Beg House,Huu Rock,none,2024-01-20,Street/Choreography
Gibney,12:00:00,Embodiment Through Dance Movement Therapy At 280,Giulia Carotenuto,none,2024-01-20,Additional Disciplines
Gibney,12:00:00,Countertechnique,Maggie Costales,none,2024-01-20,Additional Disciplines
BDC,12:00:00,All Levels Restorative Meditation,Sarah Simon Wolff,none,2024-01-20,Additional Disciplines
ILD NYC,12:00:00,Newjeans | Newjeans Part 1,Eunice Shin,none,2024-01-20,Additional Disciplines
Steps,12:00:00,Basic Tap,Ohr,none,2024-01-20,Tap
Gibney,12:00:00,Pointe,Kat Wildish,none,2024-01-20,Ballet
BDC,12:00:00,Basic Ballet,Jessica Epting,none,2024-01-20,Ballet
Peridance,12:00:00,Intro & Beg Salsa Partnering,Baila Society,none,2024-01-20,World
Gibney,12:00:00,Simonson Jazz,Leann Gioia,none,2024-01-20,Jazz
Cumbe,12:00:00,Dunham Jazz All Levels,Candice Michelle Franklin,none,2024-01-20,Contemporary/Modern
Steps,12:00:00,Beg Jazz,Bufferd,none,2024-01-20,Jazz
Mark Morris,12:15:00,Beg Contemp,Andrea *Murillo,none,2024-01-20,Contemporary/Modern
BAE,12:30:00,Intro To Ballet,Lisa Lockwood,none,2024-01-20,Ballet
Peridance,12:30:00,Open Afrobeats,Djoniba Mouflet,none,2024-01-20,World
Ailey,12:30:00,Beg Horton,Cheryl Rowley-Gaskins,none,2024-01-20,Contemporary/Modern
Ballet Arts,12:30:00,Adv Beg Ballet,Noriko Hara,none,2024-01-20,Ballet
SassClass,12:40:00,Sassy Jazz,Brynlie,none,2024-01-20,Jazz
Steps,12:45:00,Beg Tap,Ikegaya,none,2024-01-20,Tap
Steps,12:45:00,Beg Ballet,Kemezis,none,2024-01-20,Ballet
SassClass,12:45:00,Sexy Stilettos,Kiersten,none,2024-01-20,Street/Choreography
Steps,12:45:00,Adv/Beg Modern/Horton,Maffei,none,2024-01-20,Contemporary/Modern
PMT,13:00:00,Basic Hip Hop,Andy Needham,none,2024-01-20,Street/Choreography
PMT,13:00:00,Adv. Beg. Hip Hop,Mini Zhang,none,2024-01-20,Street/Choreography
ILD Queens,13:00:00,Crazy Form | Ateez Part 3,Maylin Ramos,none,2024-01-20,Additional Disciplines
Steps,13:15:00,Int Ballet,Loh (1),none,2024-01-20,Ballet
Steps,13:15:00,Pilates Mat,Cummings,none,2024-01-20,Additional Disciplines
Peridance,13:30:00,Int Jazz,Patrick Garr (2),none,2024-01-20,Jazz
Peridance,13:30:00,Intro & Beg Salsa Partnering,Baila Society,none,2024-01-20,World
Peridance,13:30:00,Open Dancehall,Alfred Prince Forbes (3),none,2024-01-20,World
ILD NYC,13:30:00,Hard | Shinee Part 1,Ness Martinez,none,2024-01-20,Additional Disciplines
Peridance,13:30:00,Int Contemp,Jana Hicks,none,2024-01-20,Contemporary/Modern
SassClass,14:00:00,Chairography,Tony,none,2024-01-20,Street/Choreography
BDC,14:00:00,Adv Beg Jazz Fusion,Canceled Today,none,2024-01-20,Street/Choreography
Peridance,14:00:00,Beg African,Djoniba Mouflet,none,2024-01-20,World
Ailey,14:00:00,Beg Hip-Hop,Jonathan Lee,none,2024-01-20,Street/Choreography
BDC,14:00:00,Adv Beg Theater Jazz,Cedric Dodd,none,2024-01-20,Theater
BDC,14:00:00,Int Adv Contemp,Mike Baerga,none,2024-01-20,Contemporary/Modern
BAE,14:00:00,Int Ballet,Sean Kelly,none,2024-01-20,Ballet
Steps,14:30:00,Int/Adv Tap,Wockenfuss,none,2024-01-20,Tap
Ballet Arts,14:30:00,Open Level Ballet,Yuka Kawazu,none,2024-01-20,Ballet
Steps,14:30:00,Adv/Int Theater Jazz,Leggio,none,2024-01-20,Theater
Ailey,14:30:00,Beg Limón,Becky Brown,none,2024-01-20,Contemporary/Modern
ILD Queens,14:30:00,Born To Be | Itzy Part 3,Winnie Chung,none,2024-01-20,Additional Disciplines
BAE,14:30:00,Adv Beg Ballet,Ginger Thatcher (19),none,2024-01-20,Ballet
PMT,14:30:00,Adv. Beg. Choreo,Youran Lee,none,2024-01-20,Street/Choreography
PMT,14:30:00,Open Popping,Big Mike,none,2024-01-20,Street/Choreography
Peridance,15:00:00,Int Choreo,Roy Garzon (5),none,2024-01-20,Street/Choreography
Peridance,15:00:00,Beg Ballet,Shimon Ito (4),none,2024-01-20,Ballet
Steps,15:00:00,Int Jazz,Burkhardt (2),none,2024-01-20,Jazz
ILD NYC,15:00:00,Crazy Form | Ateez Part 3,Fernando Farias,none,2024-01-20,Additional Disciplines
Ailey,15:00:00,Open Contemp,Alex Maureen Newkirk (2),none,2024-01-20,Contemporary/Modern
Peridance,15:00:00,Adv Contemp,Mathew James,none,2024-01-20,Contemporary/Modern
Peridance,15:00:00,Beg Contemp Floorwork,Andrea Farley Shimota,none,2024-01-20,Contemporary/Modern
Peridance,15:00:00,Open Locking,Ebenezer Ackon (6),none,2024-01-20,Street/Choreography
Mark Morris,15:00:00,Afro-Caribbean Dance & Movement,Patricia Hall,none,2024-01-20,World
SassClass,15:15:00,Sexy Stilettos,Gabby,none,2024-01-20,Street/Choreography
Ailey,15:30:00,Adv Beg Ny Style Mambo,Cancelled Today,none,2024-01-20,World
BDC,15:30:00,Int Jazz Fusion,Canceled Today,none,2024-01-20,Street/Choreography
Steps,15:30:00,Int Theater Jazz,Darlington (3),none,2024-01-20,Theater
Ailey,15:30:00,Beg Ballet,Ronald Alexander,none,2024-01-20,Ballet
Peridance,15:30:00,Adv African,Cancelled Today,none,2024-01-20,World
BDC,15:30:00,Adv Beg Comm Jazz,Debbie Wilson,none,2024-01-20,Jazz
Ailey,15:30:00,Abs Beg Hip-Hop,Robin Dunn,none,2024-01-20,Street/Choreography
BAE,15:30:00,Basic Beg Ballet,Sean Kelly,none,2024-01-20,Ballet
Ailey,16:00:00,Vogue Basics,Rinor Zymberi (3),none,2024-01-20,Street/Choreography
Steps,16:00:00,Int/Adv Contemp,Guy,none,2024-01-20,Contemporary/Modern
BAE,16:00:00,Pointe Class,Ginger Thatcher (21),none,2024-01-20,Ballet
PMT,16:10:00,Adv. Beg. Choreo,Kenneth Herrera,none,2024-01-20,Street/Choreography
PMT,16:10:00,Adv. Beg. Breaking,Bboy Cuong,none,2024-01-20,Street/Choreography
Steps,16:15:00,Adv/Beg Tap,MacDonald,none,2024-01-20,Tap
ILD NYC,16:30:00,Iac | Viviz Part 2,Maylin Ramos,none,2024-01-20,Additional Disciplines
Cumbe,16:30:00,Compas/Kompa Dance All Levels,Julio Jean & Robenson Mathurin,none,2024-01-20,Additional Disciplines
Peridance,16:30:00,Open New Style Hustle,Jeff Selby,none,2024-01-20,Street/Choreography
BDC,16:30:00,Basic Tap,Oren Korenblum,none,2024-01-20,Tap
Peridance,16:30:00,"""The Vocab!"" Street Style Choreo",Chrybaby Cozie (7),none,2024-01-20,Street/Choreography
Steps,16:45:00,Int/Adv Theater Jazz,Brians,none,2024-01-20,Theater
Modega,17:00:00,Beg./Adv. Beg. House,Sabrina Kiamilev,https://sutrapro.com/modega/checkout/sG6jzLAnwzYgEhR3te6I,2024-01-20,Street/Choreography
Peridance,17:00:00,Open Brazilian Samba,Cecilia Lero,none,2024-01-20,World
Brickhouse,17:00:00,House Int,Natasha Markwick,none,2024-01-20,Street/Choreography
BDC,17:00:00,Adv Beg Theater,Joey Tierno,none,2024-01-20,Theater
BDC,17:00:00,Beg Ballet,Luis Villar (1),none,2024-01-20,Ballet
BDC,17:00:00,Adv Beg Jazz Funk,Chio,none,2024-01-20,Street/Choreography
Steps,17:15:00,Beg Hip Hop,"Smith, C.",none,2024-01-20,Street/Choreography
PMT,17:40:00,Open Heels,Sophia Marrapodi,none,2024-01-20,Street/Choreography
BDC,18:00:00,All Levels Afro'Dance,Shari Piontkowskie (2),none,2024-01-20,World
ILD NYC,18:00:00,Int Adv Choreo,Esosa Oviasu,none,2024-01-20,Street/Choreography
BDC,18:00:00,Beg Tap,Mark Albrecht,none,2024-01-20,Tap
Steps,18:00:00,Adv/Int Tap,MacDonald,none,2024-01-20,Tap
BDC,18:30:00,All Levels Popping Animation,Big Mike,none,2024-01-20,Street/Choreography
BDC,18:30:00,Int Theater,Matthew Steffens,none,2024-01-20,Theater
BDC,18:30:00,Adv Beg Hip-Hop,Q,none,2024-01-20,Street/Choreography
Modega,18:30:00,Adv. Beg/Int. Choreo,Youran Lee,https://sutrapro.com/modega/checkout/O73WSGi6bt4fTgJ1rwZv,2024-01-20,Street/Choreography
Brickhouse,18:30:00,Choreo Int/Adv,Roy Garzon,none,2024-01-20,Street/Choreography
BDC,19:30:00,Adv Beg Tap,Nicole Billow,none,2024-01-20,Tap
BDC,19:30:00,All Levels Ballroom Fusion,Denys Drozdyuk and Antonina Skobina,none,2024-01-20,Street/Choreography
BDC,20:00:00,Int Street Jazz,Ness Martinez,none,2024-01-20,Street/Choreography
BDC,20:00:00,Int Contemp,Gina Menichino,none,2024-01-20,Contemporary/Modern
Modega,20:00:00,Open Hip Hop Session,Kito Liao & Minh Nguyen & Liam Lynch,https://sutrapro.com/modega/checkout/LN3DZcPhMriXRQKMeJG8,2024-01-20,Street/Choreography
Brickhouse,20:00:00,Chicago Footwork Open Level,Ant & Tal .,none,2024-01-20,Additional Disciplines
BDC,20:00:00,Int Adv Theater,Ross Thompson,none,2024-01-20,Theater
