Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6736&classDate=1/31/2024&clsLoc=1,Open Yoga,Sarah Iguchi,none,Peridance Center,1 hour
Peridance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6975&classDate=1/31/2024&clsLoc=1,Open Body Maintenance Training,Roukijah “NutellaK” Rooks | GETFITNK,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6795&classDate=1/31/2024&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Raisa Umanskaya,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4301&classDate=1/31/2024&clsLoc=1,Inter Contemporary,Brandon Coleman,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5260&classDate=1/31/2024&clsLoc=1,Open Barre à Terre,Anabella Lenzu,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Adv Contemporary Ballet | GUEST CLASS,Cancelled Today,Raisa Umanskaya,none,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6721&classDate=1/31/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5484&classDate=1/31/2024&clsLoc=1,Inter Broadway Jazz,Sue Samuels,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5509&classDate=1/31/2024&clsLoc=1,Inter Contemporary,Marijke Eliasberg,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6956&classDate=1/31/2024&clsLoc=1,Beg Horton,Katrina Perrin,Chris O'Leary,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5418&classDate=1/31/2024&clsLoc=1,Inter Ballet,Shimon Ito (1),none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6737&classDate=1/31/2024&clsLoc=1,Inter Choreography,James Kho,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7122&classDate=1/31/2024&clsLoc=1,Adv Contemporary,Mike Esperanza,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5402&classDate=1/31/2024&clsLoc=1,Beg House,Ejoe Wilson,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6780&classDate=1/31/2024&clsLoc=1,Open Stretch,Diego Funes,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6342&classDate=1/31/2024&clsLoc=1,Inter Hip Hop,TweetBoogie _,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5472&classDate=1/31/2024&clsLoc=1,Open Dancehall,Korie Genius,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6739&classDate=1/31/2024&clsLoc=1,Beg Popping,Sun Kim | SUN KIM DANCE THEATER,none,none,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5659&classDate=1/31/2024&clsLoc=1,Inter Choreography,Kara Lee (2),none,Peridance Center,1 hour &30 minutes
Peridance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6667&classDate=1/31/2024&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6741&classDate=1/31/2024&clsLoc=1,Inter Contemporary,Kristalyn Gill,none,Peridance Center,1 hour &30 minutes
