Studio,Start time,,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5626&classDate=2/2/2024&clsLoc=1,Open Level Pilates,Andrea *Murillo (Mask Optional),none,none,1 hour
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=2/2/2024&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=2/2/2024&clsLoc=1,Cunningham Technique Open Class,Rotating *Cunningham Faculty (Mask Optional),none,Allen *Fogelsanger,1 hour &30 minutes
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=2/2/2024&clsLoc=1,Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5627&classDate=2/2/2024&clsLoc=1,Intermediate Countertechnique®,Maggie *Costales (13),none,none,1 hour &30 minutes
Mark Morris Dance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=155&classId=5638&classDate=2/2/2024&clsLoc=1,Morning Subsidy (Any Classes from 9am-3pm),Various Morning Teaching Artists,none,none,15 minutes
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4949&classDate=2/2/2024&clsLoc=1,Beginner Tap,Yuka Kameda (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=3519&classDate=2/2/2024&clsLoc=1,Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=4993&classDate=2/2/2024&clsLoc=1,Open Level West African,Ismael *Kouyate (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=156&classId=5639&classDate=2/2/2024&clsLoc=1,Evening Subsidy (Any Classes from 6:30pm-8:30pm),Various Evening Teaching Artists,none,none,15 minutes
