Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080412&classDate=2/14/2024&clsLoc=1,In-Studio Beg Ballet,Kathy Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087095&classDate=2/14/2024&clsLoc=1,In-Studio Int/Adv Pro Ballet,Heather Hawk,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088501&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Int Ballet,Kate Loh,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080413&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Beg Ballet,Kathy Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088464&classDate=2/14/2024&clsLoc=1,In-Studio Rommett Floor Barre,Jodi Moccia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087003&classDate=2/14/2024&clsLoc=1,In-Studio Adv Pro Ballet,Nancy Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087013&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Int Ballet,Violeta Angelova (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088549&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Beg Pointe,Kathy Sullivan,Steps on Broadway,1 hour
Steps on Broadway,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084627&classDate=2/14/2024&clsLoc=1,In-Studio Int Ballet,Noriko Hara,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088452&classDate=2/14/2024&clsLoc=1,In-Studio Int Ballet,Kurt Froman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087098&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Int Ballet,Espen Giljane,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087034&classDate=2/14/2024&clsLoc=1,In-Studio Beg Ballet,Temple Kemezis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087099&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Int Contemporary,Max Stone,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085554&classDate=2/14/2024&clsLoc=1,In-Studio Int Contemporary Jazz,Savannah Cobb,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087100&classDate=2/14/2024&clsLoc=1,In-Studio Int Contemporary Lyrical,Emily Bufferd (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147088722&classDate=2/14/2024&clsLoc=1,In-Studio Int/Adv Contemporary Master Class,Shanna Irwin,Steps on Broadway,2 hours
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088596&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Beg Jazz,Sam Lobel,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087101&classDate=2/14/2024&clsLoc=1,In-Studio Int Jazz,Tommy Scrivens (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087102&classDate=2/14/2024&clsLoc=1,In-Studio Int Jazz,Adrian Lee,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087133&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Int Jazz,Lisa Harvie,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087068&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Beg Jazz,Plu Sayampol,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085560&classDate=2/14/2024&clsLoc=1,In-Studio Beg Modern/Horton,JoLea Maffei,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147088695&classDate=2/14/2024&clsLoc=1,In-Studio Spotlight: Int/Adv Latin/Hip Hop,Luis Salgado,Steps on Broadway,2 hours
Steps on Broadway,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085561&classDate=2/14/2024&clsLoc=1,In-Studio Open Hip Hop,Mickey Sakai,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087978&classDate=2/14/2024&clsLoc=1,In-Studio Open Yoga for Dancers,Josh McWhortor (4),Steps on Broadway,1 hour
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086082&classDate=2/14/2024&clsLoc=1,In-Studio Open Pilates,Stephanie Ross,Steps on Broadway,1 hour
Steps on Broadway,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086930&classDate=2/14/2024&clsLoc=1,In-Studio Alignment Floor Work,Lonne Moretton,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087813&classDate=2/14/2024&clsLoc=1,In-Studio Adv/Beg Tap,Melissa Almaguer (5),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087105&classDate=2/14/2024&clsLoc=1,In-Studio Basic Tap,Yuka Kameda,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085506&classDate=2/14/2024&clsLoc=1,In-Studio Beg Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087106&classDate=2/14/2024&clsLoc=1,In-Studio Int Tap,Shelby Kaufman,Steps on Broadway,1 hour &30 minutes
