Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18769&classDate=3/12/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18904&classDate=3/12/2024&clsLoc=1,IN-PERSON: Basic THEATER with Melodye Redding,Melodye Redding,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18109&classDate=3/12/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Rae-Ann Thomas (1),Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18691&classDate=3/12/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18709&classDate=3/12/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18867&classDate=3/12/2024&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18791&classDate=3/12/2024&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18711&classDate=3/12/2024&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18757&classDate=3/12/2024&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18202&classDate=3/12/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with April Cook,April Cook,Studio B,1 hour &30 minutes
