Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13191&classDate=3/27/2024&clsLoc=1,Contemporary Floorwork with Laja Field at 280,Laja Field,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=3/27/2024&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13056&classDate=3/27/2024&clsLoc=1,Bartenieff Fundamentals at 280,Alexandra Beller,Gibney 280: Studio X,1 hour &30 minutes
Gibney,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13107&classDate=3/27/2024&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=13197&classDate=3/27/2024&clsLoc=1,Feldenkrais®: Movement Research at 280,Antonio Ramos,Gibney 280: Studio B,1 hour &30 minutes
Gibney,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=13199&classDate=3/27/2024&clsLoc=1,Alexander Technique: Movement Research at 280,Kari Ostensen,Gibney 280: Studio B,2 hours
Gibney,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13032&classDate=3/27/2024&clsLoc=1,Contemporary Floorwork with Dual Rivet at 280,Dual Rivet,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13062&classDate=3/27/2024&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Em Papineau,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13104&classDate=3/27/2024&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13063&classDate=3/27/2024&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
