BDC,13:30:00,Beg Jazz,Heather Rigg,none,2024-05-07,Jazz
Steps,14:00:00,Int Jazz Across The Floor,Cori Jo Swanson,none,2024-05-07,Jazz
Steps,15:00:00,Adv/Int Jazz,Debbie Roshe,none,2024-05-07,Jazz
Steps,16:00:00,Int Jazz,Matthew Lynady,none,2024-05-07,Jazz
BDC,16:30:00,Int Jazz Fusion,Michelle Barber,none,2024-05-07,Jazz
Steps,17:30:00,Beg/Int Comm Jazz,Daniel Gold,none,2024-05-07,Jazz
BDC,18:00:00,Adv Beg Jazz Fusion,Michelle Barber,none,2024-05-07,Jazz
Ailey,18:30:00,Beg Jazz,Jeffrey Bynum,none,2024-05-07,Jazz
PMT,18:35:00,Beg Jazz,Mica Butnar,none,2024-05-07,Jazz
Mark Morris,19:30:00,Beg Jazz,Kristina *Bermudez,none,2024-05-07,Jazz
Steps,20:00:00,Int/Adv Latin Jazz Fusion,Sekou McMiller,none,2024-05-07,Jazz
