Steps,09:00:00,Open Level Yoga,Devin Mae Conway,none,2024-05-10,Additional Disciplines
BDC,09:15:00,Stretch & Strengthen,Alyssa Click,none,2024-05-10,Additional Disciplines
Gibney,10:00:00,Klein Technique Dance/Movement Class At 280,Jessica Winograd,none,2024-05-10,Additional Disciplines
Taylor School,10:00:00,Master Class Series,Cancelled Today,none,2024-05-10,Additional Disciplines
BAE,10:00:00,Mat Pilates Class,Ashley Carter,none,2024-05-10,Additional Disciplines
Steps,12:00:00,Pilates Mat,Laura Shapiro (5),none,2024-05-10,Additional Disciplines
Peridance,12:00:00,Open Yoga,Sarah Iguchi,none,2024-05-10,Additional Disciplines
Peridance,13:00:00,Open Gyrokinesis,Mutsuyo Isaacs (1),none,2024-05-10,Additional Disciplines
Steps,13:30:00,Lastics Stretch,Jaime Torres,none,2024-05-10,Additional Disciplines
Mark Morris,13:30:00,Int Countertechnique,Maggie *Costales (14),none,2024-05-10,Additional Disciplines
Gibney,14:00:00,Melt Method At 280,Edya Kalev,none,2024-05-10,Additional Disciplines
Peridance,14:30:00,Int Countertechnique,Francesca Dominguez,none,2024-05-10,Additional Disciplines
Mark Morris,15:00:00,Morning Subsidy Any Classes From 9Am-3Pm,Various Morning Teaching Artists,none,2024-05-10,Additional Disciplines
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,none,2024-05-10,Additional Disciplines
Modega,18:00:00,Strength And Flexibility,Sofia Mahdavi,https://sutrapro.com/modega/checkout/PZ2BL0ltuSoPceffIokB,2024-05-10,Additional Disciplines
BDC,18:00:00,Basic Jumps And Turns,Stacie Webster,none,2024-05-10,Additional Disciplines
ILD Queens,18:00:00,Midas Touch | Kiss Of Life Part 2,Eunice Shin,none,2024-05-10,Additional Disciplines
ILD NJ,18:00:00,Smoothie | Nct Dream Part 2,Ness Martinez,none,2024-05-10,Additional Disciplines
ILD NYC,18:30:00,Sheesh | Babymonster Part 2,MJ Choi,none,2024-05-10,Additional Disciplines
Cumbe,18:45:00,Rabòdayfit All Levels,Robenson Mathurin,none,2024-05-10,Additional Disciplines
ILD Queens,19:30:00,I’M Ready | Chung Ha Part 2,Fernando Farias,none,2024-05-10,Additional Disciplines
ILD NJ,19:30:00,Midas Touch | Kiss Of Life Part 2,Min Seon Kim,none,2024-05-10,Additional Disciplines
Peridance,20:00:00,Open Guinea,Nimatoulaye Camara,none,2024-05-10,Additional Disciplines
ILD NYC,20:00:00,Deja Vu | Txt Part 2,Ying Dong,none,2024-05-10,Additional Disciplines
Mark Morris,21:00:00,30Pm,Various Evening Teaching Artists,none,2024-05-10,Additional Disciplines
PJM,21:30:00,Open Kpop,Ophelia,none,2024-05-10,Additional Disciplines
