Studio,Start time,,Classes,Teacher,Room,Duration
Ballet Arts,9:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2288&classDate=6/17/2024&clsLoc=1,IN-Studio: RISE & BALLET!,Joan Liu,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,11:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2286&classDate=6/17/2024&clsLoc=1,IN-Studio: 2-Hour INTERMEDIATE Ballet,Kenny Larson,Ballet Arts STUDIO LIVE!,2 hours
Ballet Arts,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1115&classDate=6/17/2024&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Simon Kazantsev,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2276&classDate=6/17/2024&clsLoc=1,IN-Studio: ADVANCED BEGINNER Ballet,Kate Loh,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2303&classDate=6/17/2024&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Noriko Hara,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=3424&classDate=6/17/2024&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Simon Kazantsev,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2363&classDate=6/17/2024&clsLoc=1,IN-Studio: OPEN LEVEL BALLET,Yuka Kawazu,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,9:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2290&classDate=6/17/2024&clsLoc=1,OUT of Studio: RISE & BALLET!,Joan Liu,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,11:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2287&classDate=6/17/2024&clsLoc=1,OUT of Studio: 2-Hour INTERMEDIATE Ballet,Kenny Larson,BALLET Arts - VIRTUAL STUDIO,2 hours
Ballet Arts,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2241&classDate=6/17/2024&clsLoc=1,OUT of Studio: INTERMEDIATE Ballet,Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2277&classDate=6/17/2024&clsLoc=1,OUT of Studio: ADVANCED BEGINNER Ballet,Kate Loh,Ballet Arts Virtual - 2,1 hour &30 minutes
Ballet Arts,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2304&classDate=6/17/2024&clsLoc=1,OUT of Studio: INTERMEDIATE Ballet,Noriko Hara,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3425&classDate=6/17/2024&clsLoc=1,OUT of Studio: INTERMEDIATE Ballet,Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2364&classDate=6/17/2024&clsLoc=1,OUT of Studio: OPEN LEVEL BALLET,Yuka Kawazu,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
