Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,8:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=2147090088&classDate=6/17/2024&clsLoc=1,Virtual Spotlight: Int/Adv Contemporary Theater,Mayte Natalio,Steps on Broadway,2 hours
Steps on Broadway,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082306&classDate=6/17/2024&clsLoc=1,Virtual 90 Beg Ballet,Kathy Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083037&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,Heather Hawk,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088504&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Kate Loh,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088557&classDate=6/17/2024&clsLoc=1,Virtual 90 Rommett Floor Barre,Jodi Moccia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:45 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082313&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Beg Ballet,Kathy Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083038&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv Pro Ballet,Nancy Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087878&classDate=6/17/2024&clsLoc=1,Virtual 90 Int Ballet,Kurt Froman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147089025&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary Ballet,Nicholas Korkos,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085311&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Espen Giljane,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147089125&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary,Max Stone,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147090054&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Contemporary Theater,Ellenore Scott,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088691&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Jazz Technique,Camden Loeser,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088779&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Jazz,Dylan Pearce,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088027&classDate=6/17/2024&clsLoc=1,Virtual 90 Int Precision Jazz,Kenna Morris Garcia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087130&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Jazz,Lisa Harvie,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082333&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Beg Jazz,Plu Sayampol,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084793&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Commercial Jazz,Jason Williams,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087438&classDate=6/17/2024&clsLoc=1,Virtual 90 Basic Graham Based Modern,Lindsay Poulis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084886&classDate=6/17/2024&clsLoc=1,Virtual 90 Open Hip Hop,Yancy Greene,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147082307&classDate=6/17/2024&clsLoc=1,Virtual 60 Gyrokinesis,Christa Thiesing,Steps on Broadway,1 hour
Steps on Broadway,10:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147088750&classDate=6/17/2024&clsLoc=1,Virtual 60 Ballet Workout,Kate Stephan,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147087915&classDate=6/17/2024&clsLoc=1,Virtual 60 Pilates Mat,Laura Shapiro (1),Steps on Broadway,1 hour
Steps on Broadway,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147085061&classDate=6/17/2024&clsLoc=1,Virtual 60 Lastics Stretch,Jaime Torres,Steps on Broadway,1 hour
Steps on Broadway,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147087981&classDate=6/17/2024&clsLoc=1,Virtual 60 Open Level Yoga,Devin Mae Conway,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082316&classDate=6/17/2024&clsLoc=1,Virtual 90 Beg Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087873&classDate=6/17/2024&clsLoc=1,Virtual 90 Basic Tap,Sydney Burtis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082322&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Beg Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087871&classDate=6/17/2024&clsLoc=1,Virtual 90 Int Tap,Sydney Burtis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082386&classDate=6/17/2024&clsLoc=1,Virtual 90 Basic Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085055&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Beg Tap,Tommy Wasiuta,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147090048&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Katie Spelman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086237&classDate=6/17/2024&clsLoc=1,Virtual 90 Beg Theater Jazz,Krystyna Resavy,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088440&classDate=6/17/2024&clsLoc=1,Virtual 90 Int/Adv Theater Jazz,Kolton Krouse (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084592&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,TBA (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085309&classDate=6/17/2024&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Sarah Shaw (4),Steps on Broadway,1 hour &30 minutes
