Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,18:00:00,Zumba®,1 Hour,Studio 1C,None,2024-08-13,Additional Disciplines
Ailey Studios,18:30:00,,Sierra Sanders,Studio LLA,None,2024-08-13,Additional Disciplines
Ailey Studios,18:00:00,Online: Online Zumba®,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,08:00:00,Mat Pilates Class,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,08:00:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,Studio 6,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,10:00:00,Mat Pilates Class,1 Hour,Studio 2,None,2024-08-13,Additional Disciplines
BAE,10:00:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,Studio 2,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,18:00:00,Mat Pilates Class,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,18:00:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,08:15:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,08:15:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,10:30:00,Mat Pilates Class,1 Hour,Studio 6,None,2024-08-13,Additional Disciplines
BAE,10:30:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,13:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,19:30:00,,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,19:30:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,10:00:00,,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,10:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,12:00:00,Mat Pilates Class,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,12:00:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,14:30:00,,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,10:00:00,,1 Hour,Studio 4,None,2024-08-13,Additional Disciplines
BAE,10:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
BAE,12:00:00,Mat Pilates Class,1 Hour,Studio 2,None,2024-08-13,Additional Disciplines
BAE,12:00:00,Online: Live-stream Mat Pilates Class,1 Hour,Online,None,2024-08-13,Additional Disciplines
BAE,13:00:00,,1 Hour,Studio 6,None,2024-08-13,Additional Disciplines
BDC,09:00:00,,Naomi Rodriguez (1),Studio 3,None,2024-08-13,Additional Disciplines
BDC,09:15:00,All Levels Yoga And Meditation With Lauren Marsaglia,Lauren Marsaglia,Studio 2,None,2024-08-13,Additional Disciplines
BDC,10:30:00,,Jason Wise,Studio 1,None,2024-08-13,Additional Disciplines
BDC,10:30:00,,Dr. Ew,Studio 5,None,2024-08-13,Additional Disciplines
BDC,10:45:00,,Donna Flagg,Studio 2,None,2024-08-13,Additional Disciplines
BDC,12:00:00,,Josh Walden,Studio 4,None,2024-08-13,Additional Disciplines
BDC,12:15:00,,Huu Rock,Studio 5,None,2024-08-13,Additional Disciplines
BDC,13:45:00,,Eric Fotre Leach,Studio 4,None,2024-08-13,Additional Disciplines
BDC,14:00:00,,Ness Martinez,Studio 2,None,2024-08-13,Additional Disciplines
BDC,14:00:00,,Sarah Meahl,Studio 3,None,2024-08-13,Additional Disciplines
BDC,15:30:00,,Cat Cogliandro,Studio A,None,2024-08-13,Additional Disciplines
BDC,15:45:00,,Anna Gortner (7),Studio 2,None,2024-08-13,Additional Disciplines
BDC,15:45:00,,Tiger Brown (8),Studio 3,None,2024-08-13,Additional Disciplines
BDC,17:30:00,,Joey Tierno,Studio 3,None,2024-08-13,Additional Disciplines
BDC,17:30:00,,Antboogie,Studio 2,None,2024-08-13,Additional Disciplines
BDC,19:00:00,,Joseph Corella,Studio 1,None,2024-08-13,Additional Disciplines
BDC,20:45:00,,Sarah Tracy (15),Studio 1,None,2024-08-13,Additional Disciplines
BDC,21:00:00,,Jonathan Shwing Pena,Studio 3,None,2024-08-13,Additional Disciplines
BDC,21:00:00,,Joshua Johnson (16),Studio 5,None,2024-08-13,Additional Disciplines
Brickhouse,11:00:00,Summer Intensive,Various,4 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,18:00:00,Genex (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,20:00:00,Mixrz Company Rehearsal (private),Dani & Dom Russo,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,11:00:00,Summer Intensive,Various,4 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,18:00:00,Generation X (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,11:00:00,Summer Intensive,Various,4 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,18:00:00,Genex (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,11:00:00,Summer Intensive,Various,4 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,18:00:00,Generation X (private),Kelly Peters,3 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,21:00:00,X Pro (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,11:00:00,Summer Intensive,Various,4 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,10:00:00,Mixrz Company Rehearsal (private),Dani & Dom Russo,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,12:00:00,X Factory Training (private),Kelly Peters,3 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,15:00:00,Genxs (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,10:00:00,X Factory Training (private),Kelly Peters,3 Hours,None,2024-08-13,Additional Disciplines
