Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,10:00:00,Beg Ballet,Ronald Alexander,Studio 1C,None,2024-08-13,Ballet
Ailey Studios,18:00:00,Beg Ballet,Yuka Kawazu,Studio 1B,None,2024-08-13,Ballet
BAE,09:00:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,09:30:00,Intro To Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,09:30:00,Int Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,09:30:00,Online: Live-stream Int Ballet,,Online,None,2024-08-13,Ballet
BAE,10:30:00,Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:00:00,Adv Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,11:00:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,12:00:00,Basic Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,18:00:00,Int Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,19:00:00,Basic Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,19:00:00,Online: Live-stream Basic Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,19:15:00,Intro To Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,19:30:00,Adv Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,19:30:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,19:30:00,Beg Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,09:15:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,09:30:00,Basic Beg Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,11:00:00,Int Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:00:00,Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,11:00:00,Online: Live-stream Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,12:00:00,Virtual Basic Beg/beg Ballet,,,None,2024-08-13,Ballet
BAE,12:30:00,Intro To Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,18:00:00,Adv Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,19:00:00,Intro To Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,19:00:00,Int Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,19:30:00,Basic Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,19:30:00,Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,19:30:00,Online: Live-stream Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,09:00:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,09:30:00,Beg Ballet,,,None,2024-08-13,Ballet
BAE,09:30:00,Online: Live-stream Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,10:30:00,Intro To Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:00:00,Virtual Basic Beg/beg Ballet,,,None,2024-08-13,Ballet
BAE,11:15:00,Int Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,11:15:00,Online: Live-stream Int Ballet,,Online,None,2024-08-13,Ballet
BAE,12:00:00,Basic Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,18:00:00,Int Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,18:00:00,Basic Beg Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,18:30:00,Adv Beg Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,18:30:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,19:15:00,Basic Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,19:30:00,Intro To Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,19:30:00,Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,19:30:00,Online: Live-stream Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,09:15:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,09:30:00,Beg Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,09:30:00,Online: Live-stream Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,10:00:00,Intro To Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,11:00:00,Int Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:30:00,Basic Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,12:00:00,Virtual Basic Beg/beg Ballet,,,None,2024-08-13,Ballet
BAE,18:00:00,Adv Beg Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,18:00:00,Int Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,18:00:00,Virtual Basic Beg/beg Ballet,,,None,2024-08-13,Ballet
BAE,19:00:00,Adv Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,19:00:00,Basic Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,19:30:00,Intro To Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,19:30:00,Beg Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,09:00:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,10:00:00,Intro To Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,10:00:00,Virtual Basic Beg/beg Ballet,,,None,2024-08-13,Ballet
BAE,11:30:00,Int Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,11:30:00,Basic Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:30:00,Online: Live-stream Int Ballet,,Online,None,2024-08-13,Ballet
BAE,18:00:00,Int Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,18:00:00,Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,19:30:00,Intro To Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,19:30:00,Online: Live-stream Intro To Ballet,,Online,None,2024-08-13,Ballet
BAE,19:30:00,Basic Beg Ballet,,Studio 2,None,2024-08-13,Ballet
BAE,09:30:00,Beg Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,11:00:00,Intro To Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,11:00:00,Basic Beg Ballet,,Studio 3,None,2024-08-13,Ballet
BAE,13:00:00,Adv Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,13:00:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,13:00:00,Int Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,10:00:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,10:00:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,11:00:00,Basic Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,11:00:00,Online: Live-stream Basic Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,11:30:00,Int Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:30:00,Online: Live-stream Int Ballet,,Online,None,2024-08-13,Ballet
BAE,12:00:00,Intro To Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,13:30:00,Beg Ballet,,Studio 5,None,2024-08-13,Ballet
Ballet Arts,10:00:00,: Open Level Ballet,Yumiko Niimi,Ballet Arts Studio Live!,None,2024-08-13,Ballet
