Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,18:30:00,Int/adv Horton,Thibaut Witzleb,Studio 5A,None,2024-08-13,Contemporary/Modern
Ailey Studios,19:00:00,Open Contemp,Martell Ruffin (1),Studio 6B,None,2024-08-13,Contemporary/Modern
BAE,19:00:00,Beg Contemp,,Studio 4,None,2024-08-13,Contemporary/Modern
BAE,13:00:00,Adv Beg Contemp,,Studio 2,None,2024-08-13,Contemporary/Modern
BDC,09:00:00,Basic Contemp With Lorena Cobos,Lorena Cobos,Studio 4,None,2024-08-13,Contemporary/Modern
BDC,10:30:00,Adv Beg Contemp With Eric Campros,Tracie Stanfield (2),Studio 3,None,2024-08-13,Contemporary/Modern
BDC,12:00:00,Adv Beg Contemp Jazz With Tracie Stanfield,Tracie Stanfield,Studio 3,None,2024-08-13,Contemporary/Modern
BDC,17:15:00,Adv Beg Contemp Jazz With Nijawwon Matthews,Nijawwon Matthews,Studio A,None,2024-08-13,Contemporary/Modern
BDC,20:45:00,Adv Contemp Jazz With Steven Blandino,Steven Blandino,Studio A,None,2024-08-13,Contemporary/Modern
Cumbe,12:00:00,Dunham-informed Jazz Technique And Performance Class,2 Hours,,None,2024-08-13,Contemporary/Modern
Gibney,10:00:00,Contemp: 2nd Best Dance Company At 280,Hannah Garner,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,12:00:00,Contemp With Brandon Coleman At 280,Brandon Coleman,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,12:00:00,Contemp: Dynamic Sequencing With Adam Barruch At 280,Adam Barruch,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,14:00:00,Int/adv Contemp/simonson With Laurie Devito At 280,Laurie Devito,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,18:00:00,Contemp Floorwork With Destany Churchwell At 280,Destany Churchwell,Gibney 280: Studio E,None,2024-08-13,Contemporary/Modern
Gibney,10:00:00,Contemp: 2nd Best Dance Company At 280,Hannah Garner,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,14:00:00,Contemp Floorwork With Dual Rivet At 280,Dual Rivet,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,18:00:00,Beg Contemp With Leah Wilks,Leah Wilks,Gibney 280: Studio E,None,2024-08-13,Contemporary/Modern
Gibney,18:30:00,Int/adv Contemp/simonson With Laurie Devito At 280,2 Hours,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,10:00:00,Contemp Release With Wesley Ensminger At 280,Wesley Ensminger,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Gibney,10:00:00,Contemp With Maleek Washington At 280,Maleek Washington,Gibney 280: Studio V,None,2024-08-13,Contemporary/Modern
Gibney,10:00:00,Adult Open Contemp With Phoebe Ballard At 280,Phoebe Ballard,Gibney 280: Studio U,None,2024-08-13,Contemporary/Modern
Gibney,12:00:00,Beg Contemp Floorwork With Isaac Martin Lerner At 280,Isaac Martin Lerner,Gibney 280: Studio U,None,2024-08-13,Contemporary/Modern
Gibney,12:00:00,Contemp/simonson With Diane Mccarthy At 280,Diane Mccarthy,Gibney 280: Studio C,None,2024-08-13,Contemporary/Modern
Mark Morris,12:00:00,Beg Modern,Brendan *polk,,None,2024-08-13,Contemporary/Modern
Mark Morris,12:00:00,Beg Modern,Marina *makarova,,None,2024-08-13,Contemporary/Modern
Mark Morris,18:30:00,Int Modern,Robert *boston,,None,2024-08-13,Contemporary/Modern
Mark Morris,12:10:00,Online: (online) Contemp: Simonson Technique,,Online,None,2024-08-13,Contemporary/Modern
Mark Morris,12:10:00,Contemp: Simonson Technique,,,None,2024-08-13,Contemporary/Modern
Mark Morris,19:00:00,Beg Modern,Ryan *wolfe,,None,2024-08-13,Contemporary/Modern
Mark Morris,12:15:00,Beg Contemp,,,None,2024-08-13,Contemporary/Modern
Peridance,10:00:00,Inter Contemp Release,,,None,2024-08-13,Contemporary/Modern
Peridance,11:30:00,Beg Contemp,,,None,2024-08-13,Contemporary/Modern
Peridance,11:30:00,Inter/adv Contemp Dance Technique | Guest Class,,,None,2024-08-13,Contemporary/Modern
Peridance,13:00:00,Inter Horton,,,None,2024-08-13,Contemporary/Modern
Peridance,13:00:00,Inter/adv Contemp,,,None,2024-08-13,Contemporary/Modern
Peridance,16:00:00,Adv Contemp,,,None,2024-08-13,Contemporary/Modern
Peridance,19:00:00,Adv Contemp,,,None,2024-08-13,Contemporary/Modern
Peridance,19:00:00,Beg Contemp,,,None,2024-08-13,Contemporary/Modern
PMT,19:35:00,In Person: Beg Contemp,Taylor Morris (4),,None,2024-08-13,Contemporary/Modern
PMT,18:00:00,In Person: Beg Contemp,Mica Butnar,,None,2024-08-13,Contemporary/Modern
PMT,18:00:00,In Person: Adv. Beg. Contemp,Mica Butnar,,None,2024-08-13,Contemporary/Modern
PMT,19:30:00,In Person: Intro To Contemp,Mack Pereira,,None,2024-08-13,Contemporary/Modern
PMT,13:00:00,In Person: Beg Contemp,Kaitlyn Dee Snyder,,None,2024-08-13,Contemporary/Modern
Steps,10:00:00,Beg Contemp,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Steps,12:30:00,Int Contemp,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Steps,15:15:00,Adv/int Contemp Jazz,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Steps,10:00:00,Virtual 90 Beg Contemp,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Steps,12:30:00,Virtual 90 Int Contemp,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Steps,15:15:00,Virtual 90 Adv/int Contemp Jazz,Steps On Broadway,,None,2024-08-13,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Mal Stein,,None,2024-08-13,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Jakub Wala,,None,2024-08-13,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Mal Stein,,None,2024-08-13,Contemporary/Modern
Taylor School,18:00:00,Adult Open Level Modern,,,None,2024-08-13,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Jakub Wala,,None,2024-08-13,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Mal Stein,,None,2024-08-13,Contemporary/Modern
