Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,18:30:00,Beg Jazz,Jeffrey Bynum,Studio 2A,None,2024-08-13,Jazz
BDC,10:30:00,Int Comm Jazz With Mike Baerga,Mike Baerga,Studio 4,None,2024-08-13,Jazz
BDC,12:00:00,Beg Broadway Jazz With Sue Samuels,Sue Samuels,Studio A,None,2024-08-13,Jazz
BDC,13:45:00,Beg Jazz With Heather Rigg,Heather Rigg,Studio A,None,2024-08-13,Jazz
BDC,14:00:00,Int Adv Street Jazz With Bo Park,Youlmae Kim (5),Studio 5,None,2024-08-13,Jazz
BDC,15:45:00,Adv Beg Street Jazz With Neil Schwartz,Tay Gresham (6),Studio 5,None,2024-08-13,Jazz
BDC,15:45:00,Int Jazz Fusion With Michelle Barber,Michelle Barber,Studio 1,None,2024-08-13,Jazz
BDC,17:30:00,Adv Beg Jazz Funk With Miles Keeney,Miles Keeney,Studio 5,None,2024-08-13,Jazz
BDC,17:30:00,Adv Beg Jazz Fusion With Michelle Barber,Michelle Barber,Studio 1,None,2024-08-13,Jazz
BDC,19:00:00,Int Adv Jazz With Aspen Waddell,Aspen Waddell,Studio A,None,2024-08-13,Jazz
BDC,19:15:00,Int Adv Street Jazz With Candace Brown,Kenneth Herrera (14),Studio 5,None,2024-08-13,Jazz
Brickhouse,16:30:00,Pop Up - Jazz Funk,Lihi Catriel,1 Hour &30 Minutes,None,2024-08-13,Jazz
Brickhouse,15:30:00,Street Jazz (int/adv),Marlon Santana (1),1 Hour &30 Minutes,None,2024-08-13,Jazz
Brickhouse,17:00:00,Adv. Street Jazz,Jay Mills,1 Hour &30 Minutes,None,2024-08-13,Jazz
Brickhouse,20:00:00,Street Jazz (int/adv),Justin Desean,1 Hour &30 Minutes,None,2024-08-13,Jazz
Gibney,12:00:00,Simonson Jazz With Teresa Perez Ceccon At 280,Teresa Perez Ceccon,Gibney 280: Studio C,None,2024-08-13,Jazz
Gibney,12:00:00,Simonson Jazz With Teresa Perez Ceccon At 280,Teresa Perez Ceccon,Gibney 280: Studio C,None,2024-08-13,Jazz
Mark Morris,19:00:00,Open Level Jazz Funk,,,None,2024-08-13,Jazz
Mark Morris,19:30:00,Beg Jazz,,,None,2024-08-13,Jazz
Mark Morris,12:00:00,Beg/int Broadway Jazz,,,None,2024-08-13,Jazz
Peridance,14:30:00,Open Solo Jazz And Lindy Hop Found,,,None,2024-08-13,Jazz
Peridance,17:30:00,Jazzy J (boog Soulfire),,,None,2024-08-13,Jazz
PMT,19:35:00,In Person: Adv. Beg./int. Street Jazz,Mini Zhang,,None,2024-08-13,Jazz
PMT,18:35:00,In Person: Beg Jazz,Mica Butnar,,None,2024-08-13,Jazz
PMT,16:30:00,In Person: Adv. Beg. Jazz,Michelle Barber,,None,2024-08-13,Jazz
PMT,19:35:00,In Person: Basic Jazz,Brynlie .,,None,2024-08-13,Jazz
PMT,14:30:00,In Person: Basic Jazz,Camryn Graves,,None,2024-08-13,Jazz
SassClass,20:30:00,Sultry Street Jazz™,1 Hour,,None,2024-08-13,Jazz
SassClass,18:00:00,Sassy Jazz™,1 Hour,,None,2024-08-13,Jazz
SassClass,12:40:00,Sassy Jazz™,1 Hour,,None,2024-08-13,Jazz
SassClass,15:10:00,Sultry Street Jazz™,1 Hour,,None,2024-08-13,Jazz
Steps,20:00:00,Spotlight: Int/adv Latin Jazz Fusion,2 Hours,,None,2024-08-13,Jazz
Steps,14:00:00,Int Jazz Across The Floor,Steps On Broadway,,None,2024-08-13,Jazz
Steps,15:00:00,Adv/int Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,16:00:00,Adv/beg Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,17:30:00,Beg/int Comm Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,20:30:00,Open Vernacular Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,11:30:00,Adv/beg Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,11:45:00,Int/adv Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,13:00:00,Int Classic Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,13:15:00,Adv/int Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,14:30:00,Int Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,16:45:00,Adv/int Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,18:30:00,Adv/beg Theater Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,20:00:00,Virtual Spotlight: Int/adv Latin Jazz Fusion,2 Hours,,None,2024-08-13,Jazz
Steps,14:00:00,Virtual 90 Int Jazz Across The Floor,Steps On Broadway,,None,2024-08-13,Jazz
Steps,15:00:00,Virtual 90 Adv/int Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,16:00:00,Virtual 90 Adv/beg Jazz,Steps On Broadway,,None,2024-08-13,Jazz
Steps,17:30:00,Virtual 90 Beg/int Comm Jazz,Steps On Broadway,,None,2024-08-13,Jazz
