Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,18:30:00,Abs Beg Hip Hop,Robin Dunn,Studio 2B,None,2024-08-13,Street Styles
Ailey Studios,19:00:00,Beg Hip Hop,Jonathan Lee,Studio 1C,None,2024-08-13,Street Styles
Ailey Studios,19:00:00,Beg Vogue Fem,Luz Theodyssey,Studio LLC,None,2024-08-13,Street Styles
BDC,19:15:00,Adv Beg Heels With Hector Lopez,,Studio 3,None,2024-08-13,Street Styles
Brickhouse,15:00:00,Choreo (int/adv),Cancelled Today,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,15:00:00,Hip Hop (int/adv),Jojo Brooks,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,16:30:00,Hip Hop (int),Mini Zhang,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,20:00:00,Heels (int/adv),Emma Rosa,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,15:00:00,Hip Hop (int/adv),Nick Kim,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,20:00:00,Hip Hop (adv),Rachel Wilson,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,21:30:00,Hip Hop (int/adv),Sinque .,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,16:30:00,Hip Hop (int/adv),Nycole Altchiler,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,18:30:00,Pop Up - Hip Hop,Kelly Peters,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,17:00:00,House (int),Natasha Markwick,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,18:30:00,Choreo (int/adv),Roy Garzon,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Brickhouse,20:00:00,Adult Beg Hip Hop,Dezi .,1 Hour &30 Minutes,None,2024-08-13,Street Styles
Gibney,18:00:00,House With Afro-diasporic Influence With Khadijah Siferllah At 280,Khadijah Siferllah,Gibney 280: Studio D,None,2024-08-13,Street Styles
ILoveDance Manhattan,17:00:00,Int/adv Choreo,Cancelled Today,,None,2024-08-13,Street Styles
ILoveDance Manhattan,18:30:00,Basic Hip Hop Fundamentals,Ness Martinez,,None,2024-08-13,Street Styles
ILoveDance Manhattan,20:00:00,Beg House,Huu Rock,,None,2024-08-13,Street Styles
ILoveDance Manhattan,20:00:00,Adv Beg Choreo,Alice Wu,Manhattan,None,2024-08-13,Street Styles
ILoveDance Manhattan,20:00:00,Beg Hip Hop Choreo,Ness Martinez,,None,2024-08-13,Street Styles
ILoveDance NJ,19:30:00,Int/adv Choreo,Alice Wu,Fort Lee Studio 1,None,2024-08-13,Street Styles
ILoveDance NJ,19:30:00,Adv Beg Choreo,Alice Wu,,None,2024-08-13,Street Styles
ILoveDance Queens,19:30:00,All Levels Choreo,Christina Ryu,Flushing,None,2024-08-13,Street Styles
Peridance,20:30:00,Adv Beg Heels,,,None,2024-08-13,Street Styles
Peridance,20:30:00,Beg Vogue,,,None,2024-08-13,Street Styles
PMT,17:00:00,In Person: Basic Hip Hop,Andy Needham,,None,2024-08-13,Street Styles
PMT,20:10:00,In Person: Intro To Hip Hop,Devynn Brooks,,None,2024-08-13,Street Styles
PMT,18:00:00,In Person: Beg Hip Hop,Devynn Brooks,,None,2024-08-13,Street Styles
PMT,19:35:00,In Person: Adv. Beg. Hip Hop,Mini Zhang (3),,None,2024-08-13,Street Styles
PMT,21:10:00,In Person: Beg Heels,Shoshanna Babitt (5),,None,2024-08-13,Street Styles
PMT,18:00:00,In Person: Basic/beg Hip Hop,Shoshanna Babitt (6),,None,2024-08-13,Street Styles
PMT,13:00:00,In Person: Adv. Beg. Hip Hop,Mini Zhang,,None,2024-08-13,Street Styles
PMT,13:00:00,In Person: Basic Hip Hop,Andy Needham,,None,2024-08-13,Street Styles
PMT,17:40:00,In Person: Open Heels,Shoshanna Babitt (8),,None,2024-08-13,Street Styles
PMT,17:30:00,In Person: Adv. Beg. Hip Hop,Devynn Brooks,,None,2024-08-13,Street Styles
PMT,19:15:00,In Person: Adv. Beg. Hip Hop Choreo,Shoshanna Babitt,,None,2024-08-13,Street Styles
SassClass,19:15:00,Livestream | Fierce Feminine® Hip Hop,1 Hour,,None,2024-08-13,Street Styles
SassClass,11:00:00,Vogue,1 Hour,,None,2024-08-13,Street Styles
SassClass,19:15:00,Livestream | Fierce Feminine® Hip Hop,1 Hour,,None,2024-08-13,Street Styles
Steps,20:30:00,Open Heels,Steps On Broadway,,None,2024-08-13,Street Styles
Steps,20:30:00,Virtual 90 Open Heels,Steps On Broadway,,None,2024-08-13,Street Styles
Hive NJ,19:00:00,Advance Choreo (adults 17+),Dino Principe,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,20:15:00,Advance Choreo (adults 17+),Karen Vanessa,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,19:00:00,Advance Choreo (adults 17+),Miguel Ruiz,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,20:15:00,Advance Choreo (adults 17+),Darien Rensalier,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,19:00:00,Beg Hip-hop (adults 17+),Jaqui Angulo,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,20:15:00,Beg Hip-hop (adults 17+),Katrina Endozo,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,14:00:00,Beg Hip-hop (adults 17+),Sub Teacher (1),1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,15:15:00,Adv/beg Hip Hop Choreo (adults 17+),Maddie Jacob,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Hive NJ,16:30:00,Adv/beg Hip Hop Choreo (adults 17+),Jason Bams Daniel,1 Hour &15 Minutes,None,2024-08-13,Street Styles
Femmily,18:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,20:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,14:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,18:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,19:00:00,High Heels Int,1 Hour,,None,2024-08-13,Street Styles
Femmily,18:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,19:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,19:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,14:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,18:00:00,Girly Hip Hop,1 Hour,,None,2024-08-13,Street Styles
Femmily,18:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,19:00:00,High Heels Int,1 Hour,,None,2024-08-13,Street Styles
Femmily,15:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,17:00:00,High Heels Beginners,1 Hour,,None,2024-08-13,Street Styles
Femmily,19:00:00,Girly Hip Hop,1 Hour,,None,2024-08-13,Street Styles
Modega,18:30:00,Adv. Beg/int. Choreo,6:30 Pm Edt • (85 Min),,,2024-08-13,Street Styles
Modega,18:30:00,All Levels Waacking,6:30 Pm Edt • (85 Min),,,2024-08-13,Street Styles
Modega,20:00:00,Beg./adv. Beg. Choreo,8:00 Pm Edt • (85 Min),,,2024-08-13,Street Styles
Modega,20:00:00,Int House,8:00 Pm Edt • (85 Min),,,2024-08-13,Street Styles
Modega,21:30:00,"Open ""modega"" House/funk Session",9:30 Pm Edt • (120 Min),,,2024-08-13,Street Styles
