Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ballet Arts,11:30:00,: Tap - Let's Begin!,Stephen Reed,Ballet Arts Studio Live!,None,2024-08-13,Tap
Ballet Arts,11:30:00,Tap - Let's Begin!,Stephen Reed,Ballet Arts - Virtual Studio,None,2024-08-13,Tap
BDC,10:30:00,Adv Beg Tap With Dre Torres,Mike Camire (3),Studio B,None,2024-08-13,Tap
BDC,12:00:00,Beg Tap With Doug Shankman,Mike Camire (4),Studio B,None,2024-08-13,Tap
BDC,13:45:00,Int Theater Tap With Brent Mcbeth,Brent Mcbeth,Studio B,None,2024-08-13,Tap
BDC,15:30:00,Adv Beg Tap With April Cook,April Cook,Studio B,None,2024-08-13,Tap
BDC,17:15:00,Adv Beg Tap With Ray Hesselink,,Studio B,None,2024-08-13,Tap
BDC,19:00:00,Basic Tap With Shelby Kaufman,Josh Walden (12),Studio B,None,2024-08-13,Tap
Mark Morris,19:00:00,Int Tap,,,None,2024-08-13,Tap
Mark Morris,18:30:00,Beg Tap,,,None,2024-08-13,Tap
Steps,11:00:00,Adv/beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,12:00:00,Int Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,12:45:00,Beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,14:30:00,Adv/beg Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,17:30:00,Int Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,18:00:00,Beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,19:15:00,Adv Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,11:00:00,Virtual 90 Adv/beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,12:00:00,Virtual 90 Int Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,12:45:00,Virtual 90 Beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,14:30:00,Virtual 90 Adv/beg Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,17:30:00,Virtual 90 Int Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,18:00:00,Virtual 90 Beg Broadway Tap,Steps On Broadway,,None,2024-08-13,Tap
Steps,19:15:00,Virtual 90 Adv Tap,Steps On Broadway,,None,2024-08-13,Tap
