Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Ailey Studios,18:00:00,Beg Salsa,1 Hour,Studio LLC,None,2024-08-13,World
Ailey Studios,18:30:00,Open Afro-cuban Folkloric,La Mora,Studio 1A,None,2024-08-13,World
Ailey Studios,19:30:00,Open Samba/afro-brazilian,Quenia Ribeiro,Studio 1B,None,2024-08-13,World
Ailey Studios,19:30:00,Online: Online Open Samba/afro-brazilian,,Online,None,2024-08-13,World
BDC,19:15:00,All Levels Afro Dance Class With Judith Mccarty,Judith Mccarty,Studio 2,None,2024-08-13,World
Cumbe,18:30:00,Afro-haitian Dance [beg. Level],Julio Jean,,None,2024-08-13,World
Cumbe,19:00:00,Afro-fusion [all Levels],Tamara Jones,,None,2024-08-13,World
Cumbe,19:30:00,Afro-brazilian And Samba [all Levels],Quenia Ribeiro,,None,2024-08-13,World
Cumbe,19:00:00,Online: Afro-fusion,Tamara Jones,Online,None,2024-08-13,World
Cumbe,19:30:00,Online: Afro-brazilian And Samba [all Levels],Quenia Ribeiro,Online,None,2024-08-13,World
Gibney,14:00:00,Afrokorp With Argelia Arreola At 280,Argelia Arreola,Gibney 280: Studio D,None,2024-08-13,World
Mark Morris,12:15:00,Samba & Afro-brazilian,,,None,2024-08-13,World
Mark Morris,15:00:00,Afro-caribbean Dance & Movement,2 Hours,,None,2024-08-13,World
PMT,18:00:00,In Person: Open Level Salsa,Sael Nunez,,None,2024-08-13,World
Steps,19:00:00,Open Afro Brazilian,Steps On Broadway,,None,2024-08-13,World
Steps,19:00:00,Virtual 90 Open Afro Brazilian,Steps On Broadway,,None,2024-08-13,World
